// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

WorkloadActual  47: 32 op, 701978100.00 ns, 21.9368 ms/op
WorkloadActual  48: 32 op, 763648800.00 ns, 23.8640 ms/op
WorkloadActual  49: 32 op, 734875600.00 ns, 22.9649 ms/op
WorkloadActual  50: 32 op, 715664700.00 ns, 22.3645 ms/op
WorkloadActual  51: 32 op, 709235800.00 ns, 22.1636 ms/op
WorkloadActual  52: 32 op, 834116800.00 ns, 26.0662 ms/op
WorkloadActual  53: 32 op, 762750000.00 ns, 23.8359 ms/op
WorkloadActual  54: 32 op, 792998600.00 ns, 24.7812 ms/op
WorkloadActual  55: 32 op, 694940400.00 ns, 21.7169 ms/op
WorkloadActual  56: 32 op, 711670000.00 ns, 22.2397 ms/op
WorkloadActual  57: 32 op, 712841600.00 ns, 22.2763 ms/op
WorkloadActual  58: 32 op, 776370500.00 ns, 24.2616 ms/op
WorkloadActual  59: 32 op, 715163200.00 ns, 22.3488 ms/op
WorkloadActual  60: 32 op, 791186000.00 ns, 24.7246 ms/op
WorkloadActual  61: 32 op, 798217600.00 ns, 24.9443 ms/op
WorkloadActual  62: 32 op, 728671600.00 ns, 22.7710 ms/op
WorkloadActual  63: 32 op, 698813500.00 ns, 21.8379 ms/op
WorkloadActual  64: 32 op, 716242100.00 ns, 22.3826 ms/op
WorkloadActual  65: 32 op, 745235700.00 ns, 23.2886 ms/op
WorkloadActual  66: 32 op, 752224400.00 ns, 23.5070 ms/op
